soil_type,bonitet
Боровые пески,20
Бурая лесная глееватая и глеевая,50
Бурая лесная кислая оподзоленная,55
Бурая лесная лесная светло-серая переходная к бурым лесным,66
Бурая лесная лесная темно-серая переходная к бурым лесным,68
Бурая лесная слабоненасыщенная,62
Бурая солонцеватая и солонцы автоморфные,37
Бурая солонцеватая и солончаковатая,35
Буро-таежная грубогумусовая,70
Буро-таежная иллювиально-гумусовая,65
Бурые лесные глееватые глеевые,53
Вода,0
Горные лесные черноземовидные,60
Дерново-глеевая оподзоленная ,33
Дерново-глеевая перегнойно-глеевая ,42
Дерново-карбонатная выщелоченная оподзоленная ,48
Дерново-палево-подзолистая подзолисто-буроземная глубокоглееватая глеевая,39
Дерново-подзолистая второй гумусовый горизонт глубокий ,54
Дерново-подзолистая второй гумусовый горизонт глубокоглееватый глубокий,56
Дерново-подзолистая второй осветленный горизонт  ,45
Дерново-подзолистая глубокоглееватая глеевая поверхностно-глееватая,27
Дерново-подзолистая иллювиально-железистая  ,41
Дерново-подзолистая мелкоподзолистая  ,50
Дерново-подзолистая неглубокоподзолистая  ,50
Дерново-подзолистая поверхностно-глееватая глубокие сверхглубокие,48
Дерново-подзолистая сверхглубокоподзолистая  ,50
Дерново-подзолисто-глеевая   ,45
Дерново-подзолисто-глеевая второй гумусовый горизонт  ,47
Дерново-подзолистые преимущественно сверхглубокоподзолистые  ,50
Дерново-таежная кислая  ,47
Каменистые россыпи   ,0
Каштановая мицелярно-карбонатная  ,40
Каштановая неполноразвитая  ,35
Каштановая солонцеватая и солончаковатая  ,25
Каштановая солонцеватая и солончаковатая солонцы автоморфные ,15
Коричневая типичная  ,60
Коричневые типичные  ,50
Ледники материковые льды  ,0
Луговая  солонцеватая солончаковатая,35
Луговая Горная дерновая ,45
Луговая Горная дерново-торфянистая,35
Луговая Горная черноземовидная ,60
Луговая Пойменная  ,55
Лугово-болотная   ,40
Лугово-болотная солончаковатая солонцеватая ,15
Лугово-каштановая   ,50
Лугово-каштановая солонцеватая солончаковатая ,25
Лугово-коричневая   ,55
Лугово-коричневые   ,55
Лугово-черноземная   ,85
Лугово-черноземная выщелоченная  ,80
Лугово-черноземная карбонатная  ,90
Лугово-черноземная осолоделая  ,75
Лугово-черноземная солонцеватая солончаковатая ,60
Лугово-черноземная солонцеватая солончаковатая солонцы луговатые,58
Лугово-черноземные карбонатные  ,90
Маршевая засоленная и солонцеватая  ,53
Маршевые засоленные солонцеватые ,61
Пески   ,15
Подбур тундровый  ,50
Подзол глеевой торфянистый торфяной иллювиально-гумусовый,28
Подзол иллювиально-железистый и иллювиально-гумусовый  ,36
Подзол иллювиально-железистый малогумусовый ,39
Подзолистая глубокоглееватая глеевая глубокие и сверхглубокие,44
Подзолистая мелкоподзолистая  ,37
Подзолистая поверхностно-глееватая  ,38
Подзолисто-желтоземная   ,50
Пойменная заболоченная  ,53
Пойменная засоленная  ,58
Пойменная карбонатная  ,70
Пойменная кислая  ,57
Пойменная слабокислая нейтральная ,59
Пойменная слитая  ,55
Светло-каштановая мицелярно-карбонатная  ,35
Светло-каштановая солонцеватая и солончаковатая  ,20
Светло-каштановая солонцеватая и солончаковатая солонцы автоморфные ,10
Светло-каштановая солонцеватая солончаковатая ,20
Светло-каштановая солонцеватая солончаковатая солонцы (автоморфные),13
Светло-серая лесная   ,60
Серая лесная   ,70
Серая лесная глееватая глеевая ,63
Серая лесная неоподзоленная  ,67
Серая лесная неполноразвитая  ,60
Серая лесная осолоделая второй гумусовый горизонт ,62
Серая лесная остаточно-карбонатная  ,73
Серопески   ,20
Серые лесные неоподзоленные  ,68
Солодь   ,30
Солонец автоморфный  ,35
Солонец автоморфный бурая солонцеватая,22
Солонец автоморфный каштановая солонцеватая и солончаковатая,17
Солонец автоморфный светло-каштановая солонцеватая и солончаковатая,18
Солонец луговатый лугово-каштановый ,46
Солонец луговатый лугово-черноземный ,48
Солонец луговатый полугидроморфный ,33
Солонец луговатый светло-каштановый солонцеватый / солончаковатый,29
Солонец луговой гидроморфный ,34
Солонец луговой гидроморфный солончаки луговые,32
Солончак луговой  ,35
Солончак соровой  ,22
Солончак типичный  ,30
Солончак типичный солонцы луговые,23
Таежная глеевая торфянисто-перегнойная  ,45
Темно-каштановая мицелярно-карбонатная  ,40
Темно-каштановая остаточно-карбонатная и карбонатная  ,58
Темно-каштановая солонцеватая и солончаковатая  ,25
Темно-каштановая солонцеватая и солончаковатая солонцы автоморфные ,15
Темно-серая лесная   ,70
Торфяная болотная верховая  ,15
Торфяная болотная верховая и переходная мелкие термокарстовые озера ,5
Торфяная болотная низинная  ,27
Торфяная болотная низинная и переходная  ,29
Торфяная болотная переходная  ,32
Торфяная болотная солончаковатая  ,17
Торфяно-подзолисто-глеевая торфянисто-подзолисто-глеевая  ,23
Чернозем без разделения неполноразвитый ,70
Чернозем выщелоченный  ,75
Чернозем выщелоченный мицелярно-карбонатный ,70
Чернозем глубоковскипающий бескарбонатный легкие породы,84
Чернозем обыкновенный  ,87
Чернозем оподзоленный  ,73
Чернозем оподзоленный мицелярно-карбонатный ,68
Чернозем осолоделый  ,70
Чернозем остаточно-карбонатный  ,83
Чернозем слитый  ,70
Чернозем солонцеватый  ,68
Чернозем солонцеватый солонцы автоморфные,56
Чернозем типичный  ,80
Чернозем типичный мицелярно-карбонатный ,75
Чернозем южный  ,90
Чернозем южный обыкновенный мицелярно-карбонатный,85
Чернозем языковатый и карманистый выщелоченный ,68
Чернозем языковатый обыкновенный ,80
Чернозем языковатый южный ,90
Черноземы  языковатые южные,87
Черноземы осолоделые,70
